id,sex,dob,dod,remove.date,mother,father,behavioual.mother,group.at.birth,birth.season,group.at.death,yob,yod
I1728J,U,2016-06-01,2016-06-01,NA,NA,NA,28J,F,2017,F,2016,2016
I170M2,U,2016-06-02,2016-06-02,NA,NA,NA,0M2,HH,2017,HH,2016,2016
I170K2,F,2016-06-06,NA,NA,NA,NA,0K2,F,2017,NA,2016,NA
I1751V,F,2016-06-10,NA,NA,NA,NA,51V,KK,2017,NA,2016,NA
I178I9,F,2016-06-10,NA,NA,NA,NA,8I9,KK,2017,NA,2016,NA
I175K1,M,2016-06-12,NA,NA,NA,NA,5K1,F,2017,NA,2016,NA
I171E2,M,2016-06-13,NA,NA,NA,NA,1E2,KK,2017,NA,2016,NA
I1737V,M,2016-06-13,NA,NA,NA,NA,37V,KK,2017,NA,2016,NA
I174H7,M,2016-06-13,NA,NA,NA,NA,4H7,S,2017,NA,2016,NA
I170M6,F,2016-06-14,NA,NA,NA,NA,0M6,KK,2017,NA,2016,NA
I171J7,F,2016-06-14,NA,NA,NA,NA,1J7,F,2017,NA,2016,NA
I1724V,M,2016-06-15,2016-06-20,NA,NA,NA,24V,KK,2017,KK,2016,2016
I1798T,M,2016-06-16,NA,NA,NA,NA,98T,F,2017,NA,2016,NA
I177G6,M,2016-06-17,2016-06-23,NA,NA,NA,7G6,S,2017,S,2016,2016
I170I7,M,2016-06-20,NA,NA,NA,NA,0I7,S,2017,NA,2016,NA
I171L4,M,2016-06-20,NA,NA,NA,NA,1L4,F,2017,NA,2016,NA
I173F5,F,2016-06-21,NA,NA,NA,NA,3F5,KK,2017,NA,2016,NA
I171G6,M,2016-06-22,NA,NA,NA,NA,1G6,V,2017,NA,2016,NA
I1735N,F,2016-06-22,NA,NA,NA,NA,35N,F,2017,NA,2016,NA
I172J5,F,2016-06-23,NA,NA,NA,NA,2J5,R,2017,NA,2016,NA
I176J0,M,2016-06-24,NA,NA,NA,NA,6J0,MM,2017,NA,2016,NA
I178N4,F,2016-06-24,NA,NA,NA,NA,8N4,F,2017,NA,2016,NA
I1795V,F,2016-06-25,NA,NA,NA,NA,95V,R,2017,NA,2016,NA
I171F4,F,2016-06-26,NA,NA,NA,NA,1F4,R,2017,NA,2016,NA
I175I9,M,2016-06-26,NA,NA,NA,NA,5I9,HH,2017,NA,2016,NA
I173H4,M,2016-06-27,NA,NA,NA,NA,3H4,R,2017,NA,2016,NA
I173L9,M,2016-06-27,NA,NA,NA,NA,3L9,S,2017,NA,2016,NA
I178M2,F,2016-06-27,NA,NA,NA,NA,8M2,S,2017,NA,2016,NA
I179N6,M,2016-06-27,NA,NA,NA,NA,9N6,KK,2017,NA,2016,NA
I174M5,F,2016-06-28,NA,NA,NA,NA,4M5,R,2017,NA,2016,NA
I179M6,F,2016-06-28,NA,NA,NA,NA,9M6,F,2017,NA,2016,NA
I179N4,F,2016-06-28,NA,NA,NA,NA,9N4,MM,2017,NA,2016,NA
I174H1,M,2016-06-29,NA,NA,NA,NA,4H1,R,2017,NA,2016,NA
I175G9,F,2016-06-29,NA,NA,NA,NA,5G9,F,2017,NA,2016,NA
I1765Z,F,2016-06-29,NA,NA,NA,NA,65Z,HH,2017,NA,2016,NA
I177I4,M,2016-06-29,NA,NA,NA,NA,7I4,S,2017,NA,2016,NA
I177L1,M,2016-06-29,NA,NA,NA,NA,7L1,S,2017,NA,2016,NA
I171K8,F,2016-06-30,NA,NA,NA,NA,1K8,S,2017,NA,2016,NA
I177M5,M,2016-06-30,NA,NA,NA,NA,7M5,S,2017,NA,2016,NA
I173J5,F,2016-07-01,NA,NA,NA,NA,3J5,R,2017,NA,2016,NA
I175F7,F,2016-07-01,NA,NA,NA,NA,5F7,R,2017,NA,2016,NA
I1726V,F,2016-07-03,NA,NA,NA,NA,26V,R,2017,NA,2016,NA
I177E3,F,2016-07-03,NA,NA,NA,NA,7E3,HH,2017,NA,2016,NA
I178N7,M,2016-07-03,NA,NA,NA,NA,8N7,F,2017,NA,2016,NA
I1794S,F,2016-07-03,NA,NA,NA,NA,94S,HH,2017,NA,2016,NA
I1716Z,M,2016-07-04,NA,NA,NA,NA,16Z,R,2017,NA,2016,NA
I172M6,M,2016-07-04,NA,NA,NA,NA,2M6,R,2017,NA,2016,NA
I174N6,M,2016-07-04,NA,NA,NA,NA,4N6,MM,2017,NA,2016,NA
I175J6,M,2016-07-04,NA,NA,NA,NA,5J6,HH,2017,NA,2016,NA
I174I1,F,2016-07-05,NA,NA,NA,NA,4I1,R,2017,NA,2016,NA
I178M6,F,2016-07-05,NA,NA,NA,NA,8M6,S,2017,NA,2016,NA
I178M7,M,2016-07-06,NA,NA,NA,NA,8M7,R,2017,NA,2016,NA
I1732S,F,2016-07-07,2016-07-19,NA,NA,NA,32S,F,2017,F,2016,2016
I172M1,F,2016-07-07,NA,NA,NA,NA,2M1,R,2017,NA,2016,NA
I173C3,M,2016-07-08,NA,NA,NA,NA,3C3,F,2017,NA,2016,NA
I173M7,M,2016-07-08,NA,NA,NA,NA,3M7,R,2017,NA,2016,NA
I1793O,F,2016-07-09,NA,NA,NA,NA,93O,KK,2017,NA,2016,NA
I172F0,F,2016-07-10,NA,NA,NA,NA,2F0,R,2017,NA,2016,NA
I1760V,F,2016-07-10,NA,NA,NA,NA,60V,R,2017,NA,2016,NA
I179I6,F,2016-07-10,NA,NA,NA,NA,9I6,F,2017,NA,2016,NA
I171C0,M,2016-07-11,NA,NA,NA,NA,1C0,F,2017,NA,2016,NA
