AnimalID,DOB,Sex,BirthGroup,BehaviorMom,Last Event,LastGroup,EventDate,Status,DamGen,SireGen,BirthSeason,DOD,DateTransfer
003,1/1/1954,f,U,?,nCC,CC,1/1/1960,Remove,,,1954,,12/16/1968
004,1/1/1955,f,U,?,nF,F,1/1/1960,Dead,,,1955,1/16/1979,
005,1/1/1955,m,U,?,C,C,10/1/1961,Dead,,,1955,10/2/1962,
006,1/1/1955,m,U,?,nC,nC,1/1/1960,Dead,,,1955,3/1/1963,
007,1/1/1955,f,U,?,nK,nK,11/10/1969,Remove,,,1955,,12/22/1971
008,1/1/1955,m,U,?,C,C,9/21/1964,Dead,,,1955,6/10/1966,
009,1/1/1955,m,U,?,,U,,Dead,,,1955,6/1/1956,
00A,2/16/1992,m,R,971,F,F,7/8/1999,Remove,971,H86,1992,,2/5/2002
00B,1/12/1993,f,F,E65,L,L,9/1/2000,Remove,E65,H87,1993,,2/22/2002
00C,12/25/1993,m,F,O54,,F,,Dead,O54,O81,1994,7/23/1997,
00D,1/20/1995,m,R,S54,,R,,Remove,S54,I78,1995,,1/29/1997
00E,2/23/1995,m,R,V61,R,R,11/12/1996,Remove,,K85,1995,,1/17/1997
00F,2/20/1996,f,F,R64,L,L,12/1/2001,Remove,R64,O81,1996,,1/29/2002
00G,12/30/1996,m,F,57A,,F,,Remove,57A,E94,1997,,1/26/1999
00H,2/13/1997,m,S,I56,,S,,Remove,I56,I48,1997,,1/21/1999
00I,1/16/1998,m,V,T98,,V,,Dead,,Z76,1998,2/1/2001,
00J,4/13/1998,f,F,I88,F,F,1/1/2014,Dead,I88,S94,1998,2/23/2017,
00K,12/15/1998,m,V,T98,BB,BB,5/6/2003,Remove,T98,90A,1999,,2/20/2004
00L,2/1/1999,m,S,S37,,S,,Dead,S37,08A,1999,4/24/2000,
00N,1/20/2000,f,F,93D,,F,,Remove,93D,52B,2000,,1/17/2002
00O,12/1/1999,f,F,90D,,F,,Dead,90D,56C,2000,12/19/2018,
00P,12/20/2000,f,F,62H,,F,,Remove,62H,20B,2001,,1/22/2003
00R,3/15/2002,f,V,13B,,V,,Remove,13B,12E,2002,,1/29/2004
00S,11/7/2001,m,S,36D,,S,,Remove,36D,17A,2002,,1/30/2004
00T,12/12/2002,f,R,30D,,R,,Remove,30D,25I,2003,,2/14/2006
00V,12/14/2003,f,V,30J,,V,,IN CS,30J,51A,2004,,
00Z,11/5/2003,m,R,X37,,R,,Remove,X37,37C,2004,,2/10/2006
010,1/1/1955,f,U,?,nC,nC,1/1/1960,Dead,,,1955,2/24/1964,
011,1/1/1951,f,U,?,nA,nA,1/1/1960,Dead,,,1944,11/25/1963,
012,1/1/1951,f,U,?,nA,nA,1/1/1960,Dead,,,1944,8/3/1966,
013,1/1/1955,m,U,?,,U,,Dead,,,1955,6/1/1956,
014,1/1/1955,m,U,119,nA,nA,1/1/1960,Dead,,,1955,8/15/1967,
015,1/1/1955,f,U,?,nA,nA,1/1/1960,Dead,,,1955,2/13/1969,
016,1/1/1955,m,U,?,,U,,Dead,,,1955,6/1/1956,
017,1/1/1953,m,U,?,,U,,Dead,,,1952,6/1/1956,
018,1/1/1956,f,U,?,,U,,Dead,,,1956,6/1/1956,
019,1/1/1955,m,U,?,X,X,11/1/1980,Dead,,,1955,8/17/1981,
01A,3/6/1992,m,R,B10,,R,,Remove,,,1992,,1/26/1995
01B,6/15/1993,f,F,I65,HH,HH,10/27/2006,Dead,I65,A85,1993,3/19/2010,
01C,12/24/1993,m,R,S97,,R,,Remove,S97,D78,1994,,1/25/1996
01D,2/28/1995,m,S,D82,,S,,Remove,D82,L35,1995,,2/7/1997
01E,12/26/1994,m,R,X91,,R,,Remove,X91,K85,1995,,1/17/1997
01F,3/25/1996,m,F,I70,,F,,Remove,I70,K32,1996,,1/27/1998
01G,1/15/1997,m,F,V37,,F,,Remove,V37,K32,1997,,3/5/1999
01H,1/6/1997,f,S,X60,,S,,Remove,X60,S78,1997,,1/27/1999
01I,2/19/1998,m,F,13C,nII,nII,8/24/1999,Remove,13C,L43,1998,,1/30/2001
01J,1/11/1998,f,F,O56,nII,nII,8/24/1999,Remove,O56,X94,1998,,4/26/2001
01K,1/28/1999,m,V,845,S,S,6/9/2016,Dead,845,S81,1999,4/11/2017,
01L,3/4/1999,m,BB,K79,,BB,,Remove,K79,,1999,,1/30/2001
01N,3/5/2000,f,F,V65,,F,,Dead,V65,51A,2000,1/1/2002,
01O,12/7/1999,f,F,J85,F,F,9/1/2001,Remove,J85,51A,2000,,1/23/2002
01P,3/20/2001,f,F,21C,HH,HH,10/23/2006,Dead,21C,79B,2001,2/12/2009,
01R,11/6/2001,f,V,X67,,V,,Dead,X67,X80,2002,12/1/2014,
01S,11/24/2001,m,CC,40A,,CC,,Remove,40A,,2002,,1/30/2004
01T,11/20/2002,f,R,V60,,R,,Remove,V60,S47,2003,,2/2/2006
01V,12/20/2003,m,V,J41,,V,,Remove,J41,51A,2004,,3/9/2005
01Z,10/25/2003,m,R,54N,,R,,Remove,54N,K32,2004,,2/14/2006
020,1/1/1951,f,U,?,nK,nK,11/10/1969,Remove,,,1944,,3/13/1972
021,1/1/1955,f,U,?,nI,nI,1/1/1961,Dead,,,1955,6/1/1961,
022,1/1/1954,f,U,?,nF,F,1/1/1960,Dead,,,1954,8/24/1972,
023,1/1/1956,f,U,?,,U,,Dead,,,1956,6/19/1956,
024,1/1/1955,f,U,?,nE,nE,1/1/1960,Dead,,,1955,7/15/1970,
025,1/1/1955,m,U,?,X,X,8/29/1960,Remove,,,1955,,8/14/1961
026,1/1/1953,m,U,?,nA,nA,1/1/1960,Remove,,,1953,,10/3/1971
027,1/1/1955,m,U,?,nC,nC,1/1/1960,Dead,,,1955,9/9/1968,
028,1/1/1955,f,U,?,C,C,1/3/1960,Dead,,,1955,5/17/1960,
029,1/1/1955,f,U,?,nC,nC,1/1/1960,Dead,,,1955,3/6/1965,
02A,1/10/1992,f,R,G68,,R,,Dead,G68,E05,1992,8/16/2011,
02B,2/28/1993,m,F,J92,,F,,Dead,,,1993,6/9/1994,
02C,1/17/1994,m,R,D92,F,F,10/10/2001,Remove,D92,N60,1994,,1/31/2002
02D,12/1/1994,m,S,D98,,S,,Remove,D98,717,1995,,1/15/1997
02E,12/10/1994,m,R,N41,nBB,BB,1/1/1996,Remove,N41,K82,1995,,1/15/1997
02F,2/28/1996,m,F,I88,F,F,10/1/2000,Remove,I88,O81,1996,,1/21/2010
02G,2/3/1997,f,F,65A,nKK,KK,6/7/2000,Remove,65A,L43,1997,,2/4/2010
02H,12/29/1996,m,R,28A,,R,,Remove,28A,I78,1997,,2/25/1999
02I,12/14/1997,m,F,O52,,F,,Remove,O52,S18,1998,,4/10/2001
